START,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,END
{,ADNT,Adient plc,21.44,$2.01B,2016,Capital Goods,Auto Parts:O.E.M.,}
{,ADT,ADT Inc.,6.37,$4.82B,2018,Consumer Services,Diversified Commercial Services,}
{,ATGE,Adtalem Global Education Inc.,45.46,$2.57B,n/a,Consumer Services,Other Consumer Services,}
{,AAP,Advance Auto Parts Inc,158.12,$11.34B,n/a,Consumer Services,Other Specialty Stores,}
{,ADSW,"Advanced Disposal Services, Inc.",32.37,$2.88B,2016,Public Utilities,Environmental Services,}
{,WMS,"Advanced Drainage Systems, Inc.",27.82,$1.59B,2014,Capital Goods,Containers/Packaging,}
{,ASIX,AdvanSix Inc.,29.12,$825.94M,2016,Basic Industries,Major Chemicals,}
{,AVK,Advent Claymore Convertible Securities and Income Fund,14.94,$515.81M,2003,n/a,n/a,}
{,ACM,AECOM,33.74,$5.31B,2007,Consumer Services,Military/Government/Technical,}
{,AEB,Aegon NV,22.973,n/a,n/a,Finance,Life Insurance,}
{,AED.CL,Aegon NV,n/a,n/a,n/a,n/a,n/a,}
{,AEG,Aegon NV,4.88,$9.99B,n/a,Finance,Life Insurance,}
{,AEH,Aegon NV,25.72,n/a,n/a,Finance,Life Insurance,}
{,AER,Aercap Holdings N.V.,50.81,$7.25B,2006,Technology,Diversified Commercial Services,}
{,HIVE,"Aerohive Networks, Inc.",3.58,$201.69M,2014,Technology,EDP Services,}
{,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",38.29,$3.01B,n/a,Capital Goods,Military/Government/Technical,}
{,AMG,"Affiliated Managers Group, Inc.",94.39,$4.83B,n/a,Finance,Investment Managers,}
{,MGR,"Affiliated Managers Group, Inc.",25.1762,n/a,2019,Finance,Investment Managers,}
{,AFL,Aflac Incorporated,51.27,$38.22B,n/a,Finance,Accident &Health Insurance,}
{,MITT,"AG Mortgage Investment Trust, Inc.",16.62,$543.63M,2011,n/a,n/a,}
{,MITT^A,"AG Mortgage Investment Trust, Inc.",25.57,n/a,n/a,n/a,n/a,}
{,MITT^B,"AG Mortgage Investment Trust, Inc.",25.64,n/a,n/a,n/a,n/a,}
{,AGCO,AGCO Corporation,73.32,$5.63B,n/a,Capital Goods,Industrial Machinery/Components,}
{,A,"Agilent Technologies, Inc.",77.1,$24.48B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,}
{,AEM,Agnico Eagle Mines Limited,40.4,$9.5B,n/a,Basic Industries,Precious Metals,}
{,ADC,Agree Realty Corporation,66.77,$2.57B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,AL,Air Lease Corporation,38.9,$4.32B,2011,Technology,Diversified Commercial Services,}
{,AL^A,Air Lease Corporation,26.1,n/a,n/a,n/a,n/a,}
{,APD,"Air Products and Chemicals, Inc.",208.29,$45.85B,n/a,Basic Industries,Major Chemicals,}
{,AYR,Aircastle Limited,19.81,$1.49B,2006,Technology,Diversified Commercial Services,}
{,AKS,AK Steel Holding Corporation,2.44,$771.79M,n/a,Basic Industries,Steel/Iron Ore,}
{,ALP^Q,Alabama Power Company,26.06,n/a,n/a,n/a,n/a,}
{,ALG,"Alamo Group, Inc.",104.84,$1.23B,n/a,Capital Goods,Industrial Machinery/Components,}
{,AGI,Alamos Gold Inc.,4.44,$1.73B,2015,Basic Industries,Precious Metals,}
{,ALK,"Alaska Air Group, Inc.",61.27,$7.56B,n/a,Transportation,Air Freight/Delivery Services,}
{,AIN,Albany International Corporation,76.34,$2.47B,n/a,Basic Industries,Textiles,}
{,ALB,Albemarle Corporation,72.63,$7.7B,n/a,Basic Industries,Major Chemicals,}
{,AA,Alcoa Corporation,25.04,$4.65B,2016,Basic Industries,Aluminum,}
{,ALC,Alcon Inc.,63.33,$30.95B,2019,Health Care,Ophthalmic Goods,}
{,ALEX,"Alexander & Baldwin, Inc.",23.87,$1.72B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ALX,"Alexander&#39;s, Inc.",382.19,$1.95B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ARE,"Alexandria Real Estate Equities, Inc.",142.73,$16.12B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ARE^D,"Alexandria Real Estate Equities, Inc.",37.6325,n/a,n/a,n/a,n/a,}
{,AQN,Algonquin Power & Utilities Corp.,11.38,$5.58B,2016,Public Utilities,Electric Utilities: Central,}
{,AQNA,Algonquin Power & Utilities Corp.,26.59,n/a,2018,Public Utilities,Electric Utilities: Central,}
{,BABA,Alibaba Group Holding Limited,178,$461.41B,2014,Miscellaneous,Business Services,}
{,Y,Alleghany Corporation,672.39,$9.71B,n/a,Finance,Property-Casualty Insurers,}
{,ATI,Allegheny Technologies Incorporated,23.86,$3.01B,n/a,Basic Industries,Steel/Iron Ore,}
{,ALLE,Allegion plc,100.28,$9.42B,2013,Consumer Services,Diversified Commercial Services,}
{,AGN,Allergan plc.,140.16,$45.94B,2013,Health Care,Major Pharmaceuticals,}
{,ALE,"Allete, Inc.",82.16,$4.24B,n/a,Public Utilities,Power Generation,}
{,ADS,Alliance Data Systems Corporation,148.99,$7.8B,2001,Miscellaneous,Business Services,}
{,AFB,Alliance National Municipal Income Fund Inc,13.02,$374.26M,2002,n/a,n/a,}
{,AWF,Alliance World Dollar Government Fund II,11.65,$1B,1993,n/a,n/a,}
{,AB,AllianceBernstein Holding L.P.,29.35,$2.79B,n/a,Finance,Investment Managers,}
{,CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.12,$166.5M,2017,n/a,n/a,}
{,NCV,AllianzGI Convertible & Income Fund,5.78,$517.97M,2003,n/a,n/a,}
{,NCV^A,AllianzGI Convertible & Income Fund,25.1656,n/a,n/a,n/a,n/a,}
{,NCZ,AllianzGI Convertible & Income Fund II,5.12,$387.93M,2003,n/a,n/a,}
{,NCZ^A,AllianzGI Convertible & Income Fund II,24.69,n/a,n/a,n/a,n/a,}
{,ACV,AllianzGI Diversified Income & Convertible Fund,24,$247.76M,2015,n/a,n/a,}
{,NIE,AllianzGI Equity & Convertible Income Fund,21.6,$598.51M,2007,n/a,n/a,}
{,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.27,$1.16B,2005,Finance,Finance: Consumer Services,}
{,ALSN,"Allison Transmission Holdings, Inc.",45.9,$5.52B,2012,Capital Goods,Auto Parts:O.E.M.,}
{,ALL,Allstate Corporation (The),96.38,$32.1B,n/a,Finance,Property-Casualty Insurers,}
{,ALL^A,Allstate Corporation (The),25.47,n/a,n/a,n/a,n/a,}
{,ALL^B,Allstate Corporation (The),25.42,n/a,n/a,n/a,n/a,}
{,ALL^D,Allstate Corporation (The),25.772,n/a,n/a,n/a,n/a,}
{,ALL^E,Allstate Corporation (The),25.53,n/a,n/a,n/a,n/a,}
{,ALL^F,Allstate Corporation (The),25.6989,n/a,n/a,n/a,n/a,}
{,ALL^G,Allstate Corporation (The),26.03,n/a,n/a,n/a,n/a,}
{,ALLY,Ally Financial Inc.,29.9,$11.88B,2014,Finance,Major Banks,}
{,ALLY^A,Ally Financial Inc.,26.4,n/a,n/a,n/a,n/a,}
{,AYX,"Alteryx, Inc.",88.51,$5.54B,2017,Technology,Computer Software: Prepackaged Software,}
{,ATUS,"Altice USA, Inc.",24.53,$16.56B,2017,Consumer Services,Television Services,}
{,MO,Altria Group,52.11,$97.49B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,}
{,ACH,Aluminum Corporation of China Limited,8.56,$5.83B,2001,Basic Industries,Aluminum,}
{,AMBR,"Amber Road, Inc.",10.3,$292.66M,2014,Technology,Computer Software: Prepackaged Software,}
{,ABEV,Ambev S.A.,4.38,$68.88B,2013,Consumer Non-Durables,Beverages (Production/Distribution),}
{,AMC,"AMC Entertainment Holdings, Inc.",13.82,$1.44B,2013,Consumer Services,Movies/Entertainment,}
{,AEE,Ameren Corporation,73.29,$18B,n/a,Public Utilities,Power Generation,}
{,AMRC,"Ameresco, Inc.",15.43,$747.94M,2010,Basic Industries,Engineering & Construction,}
{,AMOV,"America Movil, S.A.B. de C.V.",14.25,$47.04B,n/a,Public Utilities,Telecommunications Equipment,}
{,AMX,"America Movil, S.A.B. de C.V.",14.1,$46.55B,n/a,Public Utilities,Telecommunications Equipment,}
{,AAT,"American Assets Trust, Inc.",45.8,$2.2B,2011,Consumer Services,Real Estate Investment Trusts,}
{,AXL,"American Axle & Manufacturing Holdings, Inc.",12.1,$1.36B,n/a,Capital Goods,Auto Parts:O.E.M.,}
{,ACC,American Campus Communities Inc,45.91,$6.3B,2004,Consumer Services,Real Estate Investment Trusts,}
{,AEO,"American Eagle Outfitters, Inc.",21.79,$3.75B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,}
{,AEP,"American Electric Power Company, Inc.",84.66,$41.77B,n/a,Public Utilities,Electric Utilities: Central,}
{,AEP^B,"American Electric Power Company, Inc.",51.93,n/a,n/a,n/a,n/a,}
{,AEL,American Equity Investment Life Holding Company,30.64,$2.78B,2003,Finance,Life Insurance,}
{,AXP,American Express Company,118.46,$98.92B,n/a,Finance,Finance: Consumer Services,}
{,AFG,"American Financial Group, Inc.",103.13,$9.25B,n/a,Finance,Property-Casualty Insurers,}
{,AFGB,"American Financial Group, Inc.",26.21,n/a,2019,Finance,Property-Casualty Insurers,}
{,AFGE,"American Financial Group, Inc.",25.77,n/a,2014,Finance,Property-Casualty Insurers,}
{,AFGH,"American Financial Group, Inc.",26.1,n/a,2015,Finance,Property-Casualty Insurers,}
{,AMH,American Homes 4 Rent,23.79,$7.12B,2013,Consumer Services,Real Estate Investment Trusts,}
{,AMH^D,American Homes 4 Rent,26.29,n/a,n/a,n/a,n/a,}
{,AMH^E,American Homes 4 Rent,26.09,n/a,n/a,n/a,n/a,}
{,AMH^F,American Homes 4 Rent,24.8,n/a,n/a,n/a,n/a,}
{,AMH^G,American Homes 4 Rent,24.73,n/a,n/a,n/a,n/a,}
{,AMH^H,American Homes 4 Rent,25.12,n/a,n/a,n/a,n/a,}
{,AIG,"American International Group, Inc.",51.64,$44.91B,n/a,Finance,Property-Casualty Insurers,}
{,AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,}
{,AIG^A,"American International Group, Inc.",25.8,n/a,n/a,n/a,n/a,}
{,AMID,"American Midstream Partners, LP",5.21,$282.45M,2011,Public Utilities,Natural Gas Distribution,}
{,ARL,"American Realty Investors, Inc.",13.38,$214.04M,n/a,Finance,Real Estate,}
{,ARA,"American Renal Associates Holdings, Inc",7.16,$232.82M,2016,Health Care,Hospital/Nursing Management,}
{,AWR,American States Water Company,72.03,$2.65B,n/a,Public Utilities,Water Supply,}
{,AMT,American Tower Corporation (REIT),195.66,$86.49B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,AVD,American Vanguard Corporation,14.86,$441.61M,n/a,Basic Industries,Agricultural Chemicals,}
{,AWK,American Water Works,108.27,$19.28B,2008,Public Utilities,Water Supply,}
{,COLD,Americold Realty Trust,30.87,$6.16B,2018,Consumer Services,Real Estate Investment Trusts,}
{,APU,"AmeriGas Partners, L.P.",35.47,$3.3B,n/a,Consumer Services,Other Specialty Stores,}
{,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",144.56,$19.36B,n/a,Finance,Investment Managers,}
{,ABC,AmerisourceBergen Corporation (Holding Co),77.47,$16.28B,n/a,Health Care,Other Pharmaceuticals,}
{,ANFI,Amira Nature Foods Ltd,1.39,$63.1M,2012,Consumer Non-Durables,Packaged Foods,}
{,AMN,AMN Healthcare Services Inc,52.11,$2.43B,n/a,Technology,Professional Services,}
{,AMRX,"Amneal Pharmaceuticals, Inc.",10.42,$3.11B,2018,Health Care,Major Pharmaceuticals,}
{,AP,Ampco-Pittsburgh Corporation,3.39,$42.36M,n/a,Capital Goods,Fluid Controls,}
{,APH,Amphenol Corporation,94.72,$28.3B,n/a,Capital Goods,Electrical Products,}
{,AXR,AMREP Corporation,5.4,$43.89M,n/a,Consumer Services,Newspapers/Magazines,}
{,AME,"AMTEK, Inc.",85.58,$19.5B,n/a,Consumer Durables,Metal Fabrications,}
{,APC,Anadarko Petroleum Corporation,73.06,$36.67B,n/a,Energy,Oil & Gas Production,}
{,PLAN,"Anaplan, Inc.",39.75,$5.03B,2018,Technology,Computer Software: Prepackaged Software,}
{,ANDX,Andeavor Logistics LP,35.55,$8.73B,2011,Energy,Natural Gas Distribution,}
{,AU,AngloGold Ashanti Limited,11.35,$4.69B,n/a,Basic Industries,Precious Metals,}
{,BUD,Anheuser-Busch Inbev SA,84.14,$164.62B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),}
{,AXE,Anixter International Inc.,59.96,$2.02B,n/a,Consumer Non-Durables,Telecommunications Equipment,}
{,NLY,Annaly Capital Management Inc,9.62,$14.01B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,NLY^C,Annaly Capital Management Inc,25.673,n/a,n/a,n/a,n/a,}
{,NLY^D,Annaly Capital Management Inc,25.68,n/a,n/a,n/a,n/a,}
{,NLY^F,Annaly Capital Management Inc,25.8,n/a,n/a,n/a,n/a,}
{,NLY^G,Annaly Capital Management Inc,24.68,n/a,n/a,n/a,n/a,}
{,NLY^H.CL,Annaly Capital Management Inc,n/a,n/a,n/a,n/a,n/a,}
{,AM,Antero Midstream Corporation,12.99,$6.58B,2017,Public Utilities,Natural Gas Distribution,}
{,AR,Antero Resources Corporation,8.04,$2.49B,2013,Energy,Oil & Gas Production,}
{,ANTM,"Anthem, Inc.",268.31,$69.01B,n/a,Health Care,Medical Specialities,}
{,ANH,Anworth Mortgage Asset  Corporation,4.17,$411.35M,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ANH^A,Anworth Mortgage Asset  Corporation,26.25,n/a,n/a,n/a,n/a,}
{,ANH^B,Anworth Mortgage Asset  Corporation,23.4058,n/a,n/a,n/a,n/a,}
{,ANH^C,Anworth Mortgage Asset  Corporation,25.13,n/a,n/a,n/a,n/a,}
{,AON,Aon plc,179.1,$43.08B,n/a,Finance,Specialty Insurers,}
{,APA,Apache Corporation,31.22,$11.74B,n/a,Energy,Oil & Gas Production,}
{,AIV,Apartment Investment and Management Company,49.89,$7.43B,1994,Consumer Services,Real Estate Investment Trusts,}
{,AIV^A,Apartment Investment and Management Company,25.13,n/a,n/a,n/a,n/a,}
{,APY,Apergy Corporation,37.87,$2.93B,2018,Technology,Industrial Machinery/Components,}
{,APHA,Aphria Inc.,7.22,$1.81B,2018,Consumer Durables,Specialty Chemicals,}
{,ARI,Apollo Commercial Real Estate Finance,18.63,$2.54B,2009,Consumer Services,Real Estate Investment Trusts,}
{,ARI^C,Apollo Commercial Real Estate Finance,25.2186,n/a,n/a,n/a,n/a,}
{,APO,"Apollo Global Management, LLC",32.79,$13.21B,2011,Finance,Investment Managers,}
{,APO^A,"Apollo Global Management, LLC",25.61,n/a,n/a,n/a,n/a,}
{,APO^B,"Apollo Global Management, LLC",25.566,n/a,n/a,n/a,n/a,}
{,AIY,Apollo Investment Corporation,26.0795,n/a,2013,n/a,n/a,}
{,AFT,Apollo Senior Floating Rate Fund Inc.,15.14,$235.78M,2011,n/a,n/a,}
{,AIF,Apollo Tactical Income Fund Inc.,14.86,$214.94M,2013,n/a,n/a,}
{,APLE,"Apple Hospitality REIT, Inc.",16.52,$3.7B,2015,Consumer Services,Real Estate Investment Trusts,}
{,AIT,"Applied Industrial Technologies, Inc.",56.89,$2.2B,n/a,Consumer Durables,Industrial Specialties,}
{,ATR,"AptarGroup, Inc.",113.6,$7.18B,n/a,Consumer Non-Durables,Plastic Products,}
{,APTV,Aptiv PLC,77.23,$19.91B,2011,Capital Goods,Auto Parts:O.E.M.,}
{,WTR,"Aqua America, Inc.",38.65,$8.34B,n/a,Public Utilities,Water Supply,}
{,WTRU,"Aqua America, Inc.",54.26,n/a,2019,Public Utilities,Water Supply,}
{,AQ,Aquantia Corp.,12.96,$460.43M,2017,Technology,Semiconductors,}
{,WAAS,AquaVenture Holdings Limited,18.21,$490.77M,2016,Public Utilities,Water Supply,}
{,ARMK,Aramark,31.32,$7.72B,2013,Consumer Services,Restaurants,}
{,ABR,Arbor Realty Trust,13.04,$1.12B,2004,Consumer Services,Real Estate Investment Trusts,}
{,ABR^A,Arbor Realty Trust,26.275,n/a,n/a,n/a,n/a,}
{,ABR^B,Arbor Realty Trust,25.8001,n/a,n/a,n/a,n/a,}
{,ABR^C,Arbor Realty Trust,26.758,n/a,n/a,n/a,n/a,}
{,ARC,"ARC Document Solutions, Inc.",2.06,$95.31M,2004,Consumer Services,Professional Services,}
{,MT,ArcelorMittal,18.46,$18.63B,n/a,Basic Industries,Steel/Iron Ore,}
{,ARCH,"Arch Coal, Inc.",97.32,$1.64B,2016,Energy,Coal Mining,}
{,ADM,Archer-Daniels-Midland Company,42.43,$23.77B,n/a,Consumer Non-Durables,Packaged Foods,}
{,AROC,"Archrock, Inc.",9.84,$1.28B,n/a,Public Utilities,Natural Gas Distribution,}
{,ARNC,Arconic Inc.,22.48,$10.09B,n/a,Capital Goods,Metal Fabrications,}
{,ARCO,Arcos Dorados Holdings Inc.,6.78,$1.38B,2011,Consumer Services,Restaurants,}
{,ACA,"Arcosa, Inc.",35.88,$1.73B,2018,Capital Goods,Industrial Machinery/Components,}
{,RCUS,"Arcus Biosciences, Inc.",10.85,$483.21M,2018,Health Care,Major Pharmaceuticals,}
{,ARD,Ardagh Group S.A.,14.25,$3.37B,2017,Consumer Durables,Containers/Packaging,}
{,ASC,Ardmore Shipping Corporation,7.67,$253.86M,2013,Transportation,Marine Transportation,}
{,AFC,Ares Capital Corporation,25.62,$204.96M,n/a,n/a,n/a,}
{,ACRE,Ares Commercial Real Estate Corporation,14.89,$429.86M,2012,Consumer Services,Real Estate Investment Trusts,}
{,ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",15.24,$349.22M,2012,n/a,n/a,}
{,ARES,Ares Management Corporation,25.8,$2.67B,2014,Finance,Investment Managers,}
{,ARES^A,Ares Management Corporation,26.71,n/a,n/a,n/a,n/a,}
{,AGX,"Argan, Inc.",48.56,$759.15M,n/a,Basic Industries,Engineering & Construction,}
{,ARGD,"Argo Group International Holdings, Ltd.",25.66,n/a,n/a,Finance,Specialty Insurers,}
{,ARGO,"Argo Group International Holdings, Ltd.",75.43,$2.57B,n/a,Finance,Specialty Insurers,}
{,ANET,"Arista Networks, Inc.",264.22,$20.25B,2014,Technology,Computer Communications Equipment,}
{,AI,Arlington Asset Investment Corp,7.63,$279.05M,n/a,Consumer Services,Real Estate Investment Trusts,}
{,AI^B,Arlington Asset Investment Corp,22.27,n/a,n/a,n/a,n/a,}
{,AI^C,Arlington Asset Investment Corp,23.35,n/a,n/a,n/a,n/a,}
{,AIC,Arlington Asset Investment Corp,24.15,n/a,2015,Consumer Services,Real Estate Investment Trusts,}
{,AIW,Arlington Asset Investment Corp,24.22,n/a,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ARLO,"Arlo Technologies, Inc.",4.09,$304.9M,2018,Consumer Non-Durables,Consumer Electronics/Appliances,}
{,AHH,"Armada Hoffler Properties, Inc.",16.41,$1.14B,2013,Finance,Real Estate,}
{,ARR,"ARMOUR Residential REIT, Inc.",18.92,$1.13B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,ARR^A,"ARMOUR Residential REIT, Inc.",25.6748,n/a,n/a,n/a,n/a,}
{,ARR^B,"ARMOUR Residential REIT, Inc.",25.2,n/a,n/a,n/a,n/a,}
{,AFI,"Armstrong Flooring, Inc.",11.45,$297.02M,2016,Consumer Non-Durables,Plastic Products,}
{,AWI,Armstrong World Industries Inc,87.7,$4.29B,n/a,Consumer Non-Durables,Plastic Products,}
{,ARW,"Arrow Electronics, Inc.",71.18,$6.03B,n/a,Consumer Non-Durables,Electronic Components,}
{,AJG,Arthur J. Gallagher & Co.,83.47,$15.46B,n/a,Finance,Specialty Insurers,}
{,APAM,Artisan Partners Asset Management Inc.,26.68,$2.08B,2013,Finance,Investment Managers,}
{,ASA,ASA Gold and Precious Metals Limited,9.35,$180.36M,n/a,n/a,n/a,}
{,ABG,Asbury Automotive Group Inc,80.25,$1.56B,2002,Consumer Durables,Automotive Aftermarket,}
{,ASX,"ASE Technology Holding Co., Ltd.",4.36,$9.26B,2018,Technology,Semiconductors,}
{,ASGN,ASGN Incorporated,59.29,$3.12B,1992,Technology,Professional Services,}
{,AHT,Ashford Hospitality Trust Inc,5.45,$556.68M,2003,Consumer Services,Real Estate Investment Trusts,}
{,AHT^D,Ashford Hospitality Trust Inc,25.314,n/a,n/a,n/a,n/a,}
{,AHT^F,Ashford Hospitality Trust Inc,23.3,n/a,n/a,n/a,n/a,}
{,AHT^G,Ashford Hospitality Trust Inc,22.825,n/a,n/a,n/a,n/a,}
{,AHT^H,Ashford Hospitality Trust Inc,23.35,n/a,n/a,n/a,n/a,}
{,AHT^I,Ashford Hospitality Trust Inc,23.15,n/a,n/a,n/a,n/a,}
{,ASH,Ashland Global Holdings Inc.,75.92,$4.76B,n/a,Consumer Durables,Specialty Chemicals,}
{,ASPN,"Aspen Aerogels, Inc.",4.65,$112.75M,2014,Consumer Services,RETAIL: Building Materials,}
{,AHL^C,Aspen Insurance Holdings Limited,26.78,n/a,n/a,n/a,n/a,}
{,AHL^D,Aspen Insurance Holdings Limited,24.9,n/a,n/a,n/a,n/a,}
{,ASB,Associated Banc-Corp,22.71,$3.72B,n/a,Finance,Major Banks,}
{,ASB^C,Associated Banc-Corp,25.82,n/a,n/a,n/a,n/a,}
{,ASB^D,Associated Banc-Corp,24.94,n/a,n/a,n/a,n/a,}
{,ASB^E,Associated Banc-Corp,25.7923,n/a,n/a,n/a,n/a,}
{,AC,"Associated Capital Group, Inc.",39.41,$888.85M,2015,Finance,Investment Bankers/Brokers/Service,}
{,AIZ,"Assurant, Inc.",97.2,$5.98B,2004,Finance,Accident &Health Insurance,}
{,AIZP,"Assurant, Inc.",105.62,$303.66M,n/a,Finance,Accident &Health Insurance,}
{,AGO,Assured Guaranty Ltd.,44.36,$4.56B,2004,Finance,Property-Casualty Insurers,}
{,AGO^B,Assured Guaranty Ltd.,27.05,n/a,n/a,n/a,n/a,}
{,AGO^E,Assured Guaranty Ltd.,25.78,n/a,n/a,n/a,n/a,}
{,AGO^F,Assured Guaranty Ltd.,25.42,n/a,n/a,n/a,n/a,}
{,AZN,Astrazeneca PLC,37.65,$98.78B,n/a,Health Care,Major Pharmaceuticals,}
{,HOME,At Home Group Inc.,23.7,$1.51B,2016,Consumer Services,Home Furnishings,}
{,T,AT&T Inc.,30.62,$223.46B,n/a,Public Utilities,Telecommunications Equipment,}
{,TBB,AT&T Inc.,25.5,n/a,2017,Public Utilities,Telecommunications Equipment,}
{,TBC,AT&T Inc.,25.77,n/a,2018,Public Utilities,Telecommunications Equipment,}
{,ATTO,Atento S.A.,3.47,$261.66M,2014,Public Utilities,Telecommunications Equipment,}
{,ATH,Athene Holding Ltd.,45.23,$8.88B,2016,Finance,Life Insurance,}
{,ATKR,Atkore International Group Inc.,25.61,$1.18B,2016,Miscellaneous,Industrial Machinery/Components,}
{,AT,Atlantic Power Corporation,2.39,$262.17M,n/a,Energy,Electric Utilities: Central,}
{,ATO,Atmos Energy Corporation,101.92,$11.92B,n/a,Public Utilities,Oil/Gas Transmission,}
{,AUO,AU Optronics Corp,3.26,$3.14B,2002,Technology,Semiconductors,}
{,ACB,Aurora Cannabis Inc.,8.35,$8.46B,2018,Consumer Durables,Specialty Chemicals,}
{,ATHM,Autohome Inc.,105.8,$12.49B,2013,Technology,EDP Services,}
{,ALV,"Autoliv, Inc.",74.65,$6.51B,n/a,Capital Goods,Auto Parts:O.E.M.,}
{,AN,"AutoNation, Inc.",39.8,$3.55B,n/a,Consumer Durables,Automotive Aftermarket,}
{,AZO,"AutoZone, Inc.",1000.59,$24.9B,n/a,Consumer Services,Other Specialty Stores,}
{,AVLR,"Avalara, Inc.",71.97,$5.03B,2018,Technology,Computer Software: Prepackaged Software,}
{,AVB,"AvalonBay Communities, Inc.",200.71,$27.98B,n/a,Consumer Services,Real Estate Investment Trusts,}
{,AGR,"Avangrid, Inc.",49.9,$15.42B,2015,Public Utilities,Electric Utilities: Central,}
{,AVNS,"Avanos Medical, Inc.",44.73,$2.12B,2014,Health Care,Industrial Specialties,}
{,AVYA,Avaya Holdings Corp.,15,$1.66B,n/a,Public Utilities,Telecommunications Equipment,}
{,AVY,Avery Dennison Corporation,106.25,$8.97B,n/a,Consumer Durables,Containers/Packaging,}
{,AVH,Avianca Holdings S.A.,3.62,$451.14M,2013,Transportation,Air Freight/Delivery Services,}
