START,Symbol,,Name,,LastSale,END,
{ s: ,DDD,| n: ,3D Systems Corporation,| v: ,8.71,},
{ s: ,ALE,| n: ,Allete Inc.,| v: ,82.16,},
{ s: ,ADS,| n: ,Alliance Data Systems Corporation,| v: ,148.99,},
{ s: ,AFB,| n: ,Alliance National Municipal Income Fund Inc,| v: ,13.02,},
{ s: ,AWF,| n: ,Alliance World Dollar Government Fund II,| v: ,11.65,},
{ s: ,AB,| n: ,AllianceBernstein Holding L.P.,| v: ,29.35,},
{ s: ,CBH,| n: ,AllianzGI Convertible & Income 2024 Target Term Fund,| v: ,9.12,},
{ s: ,NCV,| n: ,AllianzGI Convertible & Income Fund,| v: ,5.78,},
{ s: ,NCV^A,| n: ,AllianzGI Convertible & Income Fund,| v: ,25.1656,},
{ s: ,NCZ,| n: ,AllianzGI Convertible & Income Fund II,| v: ,5.12,},
{ s: ,NCZ^A,| n: ,AllianzGI Convertible & Income Fund II,| v: ,24.69,},
{ s: ,ACV,| n: ,AllianzGI Diversified Income & Convertible Fund,| v: ,24,},
{ s: ,NIE,| n: ,AllianzGI Equity & Convertible Income Fund,| v: ,21.6,},
{ s: ,NFJ,| n: ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,| v: ,12.27,},
{ s: ,ALSN,| n: ,Allison Transmission Holdings Inc.,| v: ,45.9,},
{ s: ,ALL,| n: ,Allstate Corporation (The),| v: ,96.38,},
{ s: ,ALL^A,| n: ,Allstate Corporation (The),| v: ,25.47,},
{ s: ,ALL^B,| n: ,Allstate Corporation (The),| v: ,25.42,},
{ s: ,ALL^D,| n: ,Allstate Corporation (The),| v: ,25.772,},
{ s: ,ALL^E,| n: ,Allstate Corporation (The),| v: ,25.53,},
{ s: ,ALL^F,| n: ,Allstate Corporation (The),| v: ,25.6989,},
{ s: ,ALL^G,| n: ,Allstate Corporation (The),| v: ,26.03,},
{ s: ,ALLY,| n: ,Ally Financial Inc.,| v: ,29.9,},
{ s: ,ALLY^A,| n: ,Ally Financial Inc.,| v: ,26.4,},
{ s: ,AYX,| n: ,Alteryx Inc.,| v: ,88.51,},
{ s: ,ATUS,| n: ,Altice USA Inc.,| v: ,24.53,},
{ s: ,MO,| n: ,Altria Group,| v: ,52.11,},
{ s: ,ACH,| n: ,Aluminum Corporation of China Limited,| v: ,8.56,},
{ s: ,AMBR,| n: ,Amber Road Inc.,| v: ,10.3,},
{ s: ,ABEV,| n: ,Ambev S.A.,| v: ,4.38,},
{ s: ,AMC,| n: ,AMC Entertainment Holdings Inc.,| v: ,13.82,},
{ s: ,AEE,| n: ,Ameren Corporation,| v: ,73.29,},
{ s: ,AMRC,| n: ,Ameresco Inc.,| v: ,15.43,},
{ s: ,AMOV,| n: ,America Movil S.A.B. de C.V.,| v: ,14.25,},
{ s: ,AMX,| n: ,America Movil S.A.B. de C.V.,| v: ,14.1,},
{ s: ,AAT,| n: ,American Assets Trust Inc.,| v: ,45.8,},
{ s: ,AXL,| n: ,American Axle & Manufacturing Holdings Inc.,| v: ,12.1,},
{ s: ,ACC,| n: ,American Campus Communities Inc,| v: ,45.91,},
{ s: ,AEO,| n: ,American Eagle Outfitters Inc.,| v: ,21.79,},
{ s: ,AEP,| n: ,American Electric Power Company Inc.,| v: ,84.66,},
{ s: ,AEP^B,| n: ,American Electric Power Company Inc.,| v: ,51.93,},
{ s: ,AEL,| n: ,American Equity Investment Life Holding Company,| v: ,30.64,},
{ s: ,AXP,| n: ,American Express Company,| v: ,118.46,},
{ s: ,AFG,| n: ,American Financial Group Inc.,| v: ,103.13,},
{ s: ,AFGB,| n: ,American Financial Group Inc.,| v: ,26.21,},
{ s: ,AFGE,| n: ,American Financial Group Inc.,| v: ,25.77,},
{ s: ,AFGH,| n: ,American Financial Group Inc.,| v: ,26.1,},
{ s: ,AMH,| n: ,American Homes 4 Rent,| v: ,23.79,},
{ s: ,AMH^D,| n: ,American Homes 4 Rent,| v: ,26.29,},
{ s: ,AMH^E,| n: ,American Homes 4 Rent,| v: ,26.09,},
{ s: ,AMH^F,| n: ,American Homes 4 Rent,| v: ,24.8,},
{ s: ,AMH^G,| n: ,American Homes 4 Rent,| v: ,24.73,},
{ s: ,AMH^H,| n: ,American Homes 4 Rent,| v: ,25.12,},
{ s: ,AIG,| n: ,American International Group Inc.,| v: ,51.64,},
{ s: ,AIG.WS,| n: ,American International Group Inc.,| v: ,n/a,},
{ s: ,AIG^A,| n: ,American International Group Inc.,| v: ,25.8,},
{ s: ,AMID,| n: ,American Midstream Partners LP,| v: ,5.21,},
{ s: ,ARL,| n: ,American Realty Investors Inc.,| v: ,13.38,},
{ s: ,ARA,| n: ,American Renal Associates Holdings Inc,| v: ,7.16,},
{ s: ,AWR,| n: ,American States Water Company,| v: ,72.03,},
{ s: ,AMT,| n: ,American Tower Corporation (REIT),| v: ,195.66,},
{ s: ,AVD,| n: ,American Vanguard Corporation,| v: ,14.86,},
{ s: ,AWK,| n: ,American Water Works,| v: ,108.27,},
{ s: ,COLD,| n: ,Americold Realty Trust,| v: ,30.87,},
{ s: ,APU,| n: ,AmeriGas Partners L.P.,| v: ,35.47,},
{ s: ,AMP,| n: ,AMERIPRISE FINANCIAL SERVICES INC.,| v: ,144.56,},
{ s: ,ABC,| n: ,AmerisourceBergen Corporation (Holding Co),| v: ,77.47,},
{ s: ,ANFI,| n: ,Amira Nature Foods Ltd,| v: ,1.39,},
{ s: ,AMN,| n: ,AMN Healthcare Services Inc,| v: ,52.11,},
{ s: ,AMRX,| n: ,Amneal Pharmaceuticals Inc.,| v: ,10.42,},
{ s: ,AP,| n: ,Ampco-Pittsburgh Corporation,| v: ,3.39,},
{ s: ,APH,| n: ,Amphenol Corporation,| v: ,94.72,},
{ s: ,AXR,| n: ,AMREP Corporation,| v: ,5.4,},
{ s: ,AME,| n: ,AMTEK Inc.,| v: ,85.58,},
{ s: ,APC,| n: ,Anadarko Petroleum Corporation,| v: ,73.06,},
{ s: ,PLAN,| n: ,Anaplan Inc.,| v: ,39.75,},
{ s: ,ANDX,| n: ,Andeavor Logistics LP,| v: ,35.55,},
{ s: ,AU,| n: ,AngloGold Ashanti Limited,| v: ,11.35,},
{ s: ,BUD,| n: ,Anheuser-Busch Inbev SA,| v: ,84.14,},
{ s: ,AXE,| n: ,Anixter International Inc.,| v: ,59.96,},
{ s: ,NLY,| n: ,Annaly Capital Management Inc,| v: ,9.62,},
{ s: ,NLY^C,| n: ,Annaly Capital Management Inc,| v: ,25.673,},
{ s: ,NLY^D,| n: ,Annaly Capital Management Inc,| v: ,25.68,},
{ s: ,NLY^F,| n: ,Annaly Capital Management Inc,| v: ,25.8,},
{ s: ,NLY^G,| n: ,Annaly Capital Management Inc,| v: ,24.68,},
{ s: ,NLY^H.CL,| n: ,Annaly Capital Management Inc,| v: ,n/a,},
{ s: ,AM,| n: ,Antero Midstream Corporation,| v: ,12.99,},
{ s: ,AR,| n: ,Antero Resources Corporation,| v: ,8.04,},
{ s: ,ANTM,| n: ,Anthem Inc.,| v: ,268.31,},
{ s: ,ANH,| n: ,Anworth Mortgage Asset Corporation,| v: ,4.17,},
{ s: ,ANH^A,| n: ,Anworth Mortgage Asset Corporation,| v: ,26.25,},
{ s: ,ANH^B,| n: ,Anworth Mortgage Asset Corporation,| v: ,23.4058,},
{ s: ,ANH^C,| n: ,Anworth Mortgage Asset Corporation,| v: ,25.13,},
{ s: ,AON,| n: ,Aon plc,| v: ,179.1,},
{ s: ,APA,| n: ,Apache Corporation,| v: ,31.22,},
{ s: ,AIV,| n: ,Apartment Investment and Management Company,| v: ,49.89,},
{ s: ,AIV^A,| n: ,Apartment Investment and Management Company,| v: ,25.13,},
{ s: ,APY,| n: ,Apergy Corporation,| v: ,37.87,},
{ s: ,APHA,| n: ,Aphria Inc.,| v: ,7.22,},
{ s: ,ARI,| n: ,Apollo Commercial Real Estate Finance,| v: ,18.63,},
{ s: ,ARI^C,| n: ,Apollo Commercial Real Estate Finance,| v: ,25.2186,},
{ s: ,APO,| n: ,Apollo Global Management LLC,| v: ,32.79,},
{ s: ,APO^A,| n: ,Apollo Global Management LLC,| v: ,25.61,},
{ s: ,APO^B,| n: ,Apollo Global Management LLC,| v: ,25.566,},
{ s: ,AIY,| n: ,Apollo Investment Corporation,| v: ,26.0795,},
{ s: ,AFT,| n: ,Apollo Senior Floating Rate Fund Inc.,| v: ,15.14,},
{ s: ,AIF,| n: ,Apollo Tactical Income Fund Inc.,| v: ,14.86,},
{ s: ,APLE,| n: ,Apple Hospitality REIT Inc.,| v: ,16.52,},
{ s: ,AIT,| n: ,Applied Industrial Technologies Inc.,| v: ,56.89,},
{ s: ,ATR,| n: ,AptarGroup Inc.,| v: ,113.6,},
{ s: ,APTV,| n: ,Aptiv PLC,| v: ,77.23,},
{ s: ,WTR,| n: ,Aqua America Inc.,| v: ,38.65,},
{ s: ,WTRU,| n: ,Aqua America Inc.,| v: ,54.26,},
{ s: ,AQ,| n: ,Aquantia Corp.,| v: ,12.96,},
{ s: ,WAAS,| n: ,AquaVenture Holdings Limited,| v: ,18.21,},
{ s: ,ARMK,| n: ,Aramark,| v: ,31.32,},
{ s: ,ABR,| n: ,Arbor Realty Trust,| v: ,13.04,},
{ s: ,ABR^A,| n: ,Arbor Realty Trust,| v: ,26.275,},
{ s: ,ABR^B,| n: ,Arbor Realty Trust,| v: ,25.8001,},
{ s: ,ABR^C,| n: ,Arbor Realty Trust,| v: ,26.758,},
{ s: ,ARC,| n: ,ARC Document Solutions Inc.,| v: ,2.06,},
{ s: ,MT,| n: ,ArcelorMittal,| v: ,18.46,},
{ s: ,ARCH,| n: ,Arch Coal Inc.,| v: ,97.32,},
{ s: ,ADM,| n: ,Archer-Daniels-Midland Company,| v: ,42.43,},
{ s: ,AROC,| n: ,Archrock Inc.,| v: ,9.84,},
{ s: ,ARNC,| n: ,Arconic Inc.,| v: ,22.48,},
{ s: ,ARCO,| n: ,Arcos Dorados Holdings Inc.,| v: ,6.78,},
{ s: ,ACA,| n: ,Arcosa Inc.,| v: ,35.88,},
{ s: ,RCUS,| n: ,Arcus Biosciences Inc.,| v: ,10.85,},
{ s: ,ARD,| n: ,Ardagh Group S.A.,| v: ,14.25,},
{ s: ,ASC,| n: ,Ardmore Shipping Corporation,| v: ,7.67,},
{ s: ,AFC,| n: ,Ares Capital Corporation,| v: ,25.62,},
{ s: ,ACRE,| n: ,Ares Commercial Real Estate Corporation,| v: ,14.89,},
{ s: ,ARDC,| n: ,Ares Dynamic Credit Allocation Fund Inc.,| v: ,15.24,},
{ s: ,ARES,| n: ,Ares Management Corporation,| v: ,25.8,},
{ s: ,ARES^A,| n: ,Ares Management Corporation,| v: ,26.71,},
{ s: ,AGX,| n: ,Argan Inc.,| v: ,48.56,},
{ s: ,ARGD,| n: ,Argo Group International Holdings Ltd.,| v: ,25.66,},
{ s: ,ARGO,| n: ,Argo Group International Holdings Ltd.,| v: ,75.43,},
{ s: ,ANET,| n: ,Arista Networks Inc.,| v: ,264.22,},
{ s: ,AI,| n: ,Arlington Asset Investment Corp,| v: ,7.63,},
{ s: ,AI^B,| n: ,Arlington Asset Investment Corp,| v: ,22.27,},
{ s: ,AI^C,| n: ,Arlington Asset Investment Corp,| v: ,23.35,},
{ s: ,AIC,| n: ,Arlington Asset Investment Corp,| v: ,24.15,},
{ s: ,AIW,| n: ,Arlington Asset Investment Corp,| v: ,24.22,},
{ s: ,ARLO,| n: ,Arlo Technologies Inc.,| v: ,4.09,},
{ s: ,AHH,| n: ,Armada Hoffler Properties Inc.,| v: ,16.41,},
{ s: ,ARR,| n: ,ARMOUR Residential REIT Inc.,| v: ,18.92,},
{ s: ,ARR^A,| n: ,ARMOUR Residential REIT Inc.,| v: ,25.6748,},
{ s: ,ARR^B,| n: ,ARMOUR Residential REIT Inc.,| v: ,25.2,},
{ s: ,AFI,| n: ,Armstrong Flooring Inc.,| v: ,11.45,},
{ s: ,AWI,| n: ,Armstrong World Industries Inc,| v: ,87.7,},
{ s: ,ARW,| n: ,Arrow Electronics Inc.,| v: ,71.18,},
{ s: ,AJG,| n: ,Arthur J. Gallagher & Co.,| v: ,83.47,},
{ s: ,APAM,| n: ,Artisan Partners Asset Management Inc.,| v: ,26.68,},
{ s: ,ASA,| n: ,ASA Gold and Precious Metals Limited,| v: ,9.35,},
{ s: ,ABG,| n: ,Asbury Automotive Group Inc,| v: ,80.25,},
{ s: ,ASX,| n: ,ASE Technology Holding Co. Ltd.,| v: ,4.36,},
{ s: ,ASGN,| n: ,ASGN Incorporated,| v: ,59.29,},
{ s: ,AHT,| n: ,Ashford Hospitality Trust Inc,| v: ,5.45,},
{ s: ,AHT^D,| n: ,Ashford Hospitality Trust Inc,| v: ,25.314,},
{ s: ,AHT^F,| n: ,Ashford Hospitality Trust Inc,| v: ,23.3,},
{ s: ,AHT^G,| n: ,Ashford Hospitality Trust Inc,| v: ,22.825,},
{ s: ,AHT^H,| n: ,Ashford Hospitality Trust Inc,| v: ,23.35,},
{ s: ,AHT^I,| n: ,Ashford Hospitality Trust Inc,| v: ,23.15,},
{ s: ,ASH,| n: ,Ashland Global Holdings Inc.,| v: ,75.92,},
{ s: ,ASPN,| n: ,Aspen Aerogels Inc.,| v: ,4.65,},
{ s: ,AHL^C,| n: ,Aspen Insurance Holdings Limited,| v: ,26.78,},
{ s: ,AHL^D,| n: ,Aspen Insurance Holdings Limited,| v: ,24.9,},
{ s: ,ASB,| n: ,Associated Banc-Corp,| v: ,22.71,},
{ s: ,ASB^C,| n: ,Associated Banc-Corp,| v: ,25.82,},
{ s: ,ASB^D,| n: ,Associated Banc-Corp,| v: ,24.94,},
{ s: ,ASB^E,| n: ,Associated Banc-Corp,| v: ,25.7923,},
{ s: ,AC,| n: ,Associated Capital Group Inc.,| v: ,39.41,},
{ s: ,AIZ,| n: ,Assurant Inc.,| v: ,97.2,},
{ s: ,AIZP,| n: ,Assurant Inc.,| v: ,105.62,},
{ s: ,AGO,| n: ,Assured Guaranty Ltd.,| v: ,44.36,},
{ s: ,AGO^B,| n: ,Assured Guaranty Ltd.,| v: ,27.05,},
{ s: ,AGO^E,| n: ,Assured Guaranty Ltd.,| v: ,25.78,},
{ s: ,AGO^F,| n: ,Assured Guaranty Ltd.,| v: ,25.42,},
{ s: ,AZN,| n: ,Astrazeneca PLC,| v: ,37.65,},
{ s: ,HOME,| n: ,At Home Group Inc.,| v: ,23.7,},
{ s: ,T,| n: ,AT&T Inc.,| v: ,30.62,},
{ s: ,TBB,| n: ,AT&T Inc.,| v: ,25.5,},
{ s: ,TBC,| n: ,AT&T Inc.,| v: ,25.77,},
{ s: ,ATTO,| n: ,Atento S.A.,| v: ,3.47,},
{ s: ,ATH,| n: ,Athene Holding Ltd.,| v: ,45.23,},
{ s: ,ATKR,| n: ,Atkore International Group Inc.,| v: ,25.61,},
{ s: ,AT,| n: ,Atlantic Power Corporation,| v: ,2.39,},
{ s: ,ATO,| n: ,Atmos Energy Corporation,| v: ,101.92,},
{ s: ,AUO,| n: ,AU Optronics Corp,| v: ,3.26,},
{ s: ,ACB,| n: ,Aurora Cannabis Inc.,| v: ,8.35,},
{ s: ,ATHM,| n: ,Autohome Inc.,| v: ,105.8,},
{ s: ,ALV,| n: ,Autoliv Inc.,| v: ,74.65,},
{ s: ,AN,| n: ,AutoNation Inc.,| v: ,39.8,},
{ s: ,AZO,| n: ,AutoZone Inc.,| v: ,1000.59,},
{ s: ,AVLR,| n: ,Avalara Inc.,| v: ,71.97,},
{ s: ,AVB,| n: ,AvalonBay Communities Inc.,| v: ,200.71,},
{ s: ,AGR,| n: ,Avangrid Inc.,| v: ,49.9,},
{ s: ,AVNS,| n: ,Avanos Medical Inc.,| v: ,44.73,},
{ s: ,AVYA,| n: ,Avaya Holdings Corp.,| v: ,15,},
{ s: ,AVY,| n: ,Avery Dennison Corporation,| v: ,106.25,},
{ s: ,AVH,| n: ,Avianca Holdings S.A.,| v: ,3.62,},
{ s: ,AVA,| n: ,Avista Corporation,| v: ,43.22,},
{ s: ,AVP,| n: ,Avon Products Inc.,| v: ,3.21,},
{ s: ,AVX,| n: ,AVX Corporation,| v: ,15.81,},
{ s: ,EQH,| n: ,AXA Equitable Holdings Inc.,| v: ,22.2,},
{ s: ,AXTA,| n: ,Axalta Coating Systems Ltd.,| v: ,25.95,},
{ s: ,AXS,| n: ,Axis Capital Holdings Limited,| v: ,58.38,},
{ s: ,AXS^D,| n: ,Axis Capital Holdings Limited,| v: ,24.64,},
{ s: ,AXS^E,| n: ,Axis Capital Holdings Limited,| v: ,24.49,},
{ s: ,AX,| n: ,Axos Financial Inc.,| v: ,30.03,},
{ s: ,AXO,| n: ,Axos Financial Inc.,| v: ,25.89,},
{ s: ,AZUL,| n: ,Azul S.A.,| v: ,28.93,},
{ s: ,AZRE,| n: ,Azure Power Global Limited,| v: ,11.13,},
{ s: ,AZZ,| n: ,AZZ Inc.,| v: ,48.18,},
{ s: ,BGS,| n: ,B&G Foods Inc.,| v: ,22.46,},
{ s: ,BRPM,| n: ,B. Riley Principal Merger Corp.,| v: ,9.7,},
{ s: ,BRPM.U,| n: ,B. Riley Principal Merger Corp.,| v: ,n/a,},
{ s: ,BRPM.WS,| n: ,B. Riley Principal Merger Corp.,| v: ,n/a,},
{ s: ,BW,| n: ,Babcock,| v: ,0.4419,},
{ s: ,BGH,| n: ,Babson Global Short Duration High Yield Fund,| v: ,18.38,},
{ s: ,BMI,| n: ,Badger Meter Inc.,| v: ,54.84,},
{ s: ,BCSF,| n: ,Bain Capital Specialty Finance Inc.,| v: ,19.59,},
{ s: ,BHGE,| n: ,Baker Hughes a GE company,| v: ,22.32,},
{ s: ,BBN,| n: ,BalckRock Taxable Municipal Bond Trust,| v: ,23.03,},
{ s: ,BLL,| n: ,Ball Corporation,| v: ,64.31,},
{ s: ,BANC,| n: ,Banc of California Inc.,| v: ,14.32,},
{ s: ,BANC^D,| n: ,Banc of California Inc.,| v: ,25.988,},
{ s: ,BANC^E,| n: ,Banc of California Inc.,| v: ,26.38,},
{ s: ,BBVA,| n: ,Banco Bilbao Viscaya Argentaria S.A.,| v: ,5.81,},
{ s: ,BBD,| n: ,Banco Bradesco Sa,| v: ,8.76,},
{ s: ,BBDO,| n: ,Banco Bradesco Sa,| v: ,7.53,},
{ s: ,BCH,| n: ,Banco De Chile,| v: ,28.65,},
{ s: ,BLX,| n: ,Banco Latinoamericano de Comercio Exterior S.A.,| v: ,20.96,},
{ s: ,BSBR,| n: ,Banco Santander Brasil SA,| v: ,11.05,},
{ s: ,BSAC,| n: ,Banco Santander Chile,| v: ,28.38,},
{ s: ,BSMX,| n: ,Banco Santander Mexico S.A. Institucion de Ban,| v: ,7.96,},
{ s: ,SAN,| n: ,Banco Santander S.A.,| v: ,4.67,},
{ s: ,SAN^B,| n: ,Banco Santander S.A.,| v: ,22.81,},
{ s: ,CIB,| n: ,BanColombia S.A.,| v: ,49.9,},
{ s: ,BXS,| n: ,BancorpSouth Bank,| v: ,29.93,},
{ s: ,BAC,| n: ,Bank of America Corporation,| v: ,29.58,},
{ s: ,BAC^A,| n: ,Bank of America Corporation,| v: ,26.19,},
{ s: ,BAC^B,| n: ,Bank of America Corporation,| v: ,26.42,},
{ s: ,BAC^C,| n: ,Bank of America Corporation,| v: ,26.17,},
{ s: ,BAC^E,| n: ,Bank of America Corporation,| v: ,22.69,},
{ s: ,BAC^K,| n: ,Bank of America Corporation,| v: ,26.22,},
{ s: ,BAC^L,| n: ,Bank of America Corporation,| v: ,1325.8881,},
{ s: ,BAC^W,| n: ,Bank of America Corporation,| v: ,25.9,},
{ s: ,BAC^Y,| n: ,Bank of America Corporation,| v: ,25.65,},
{ s: ,BML^G,| n: ,Bank of America Corporation,| v: ,19.97,},
{ s: ,BML^H,| n: ,Bank of America Corporation,| v: ,19.6,},
{ s: ,BML^J,| n: ,Bank of America Corporation,| v: ,22.1797,},
{ s: ,BML^L,| n: ,Bank of America Corporation,| v: ,21.86,},
{ s: ,BOH,| n: ,Bank of Hawaii Corporation,| v: ,81.71,},
{ s: ,BMO,| n: ,Bank Of Montreal,| v: ,77.65,},
{ s: ,NTB,| n: ,Bank of N.T. Butterfield & Son Limited (The),| v: ,39.05,},
{ s: ,BK,| n: ,Bank Of New York Mellon Corporation (The),| v: ,48.1,},
{ s: ,BK^C,| n: ,Bank Of New York Mellon Corporation (The),| v: ,25.21,},
{ s: ,BNS,| n: ,Bank of Nova Scotia (The),| v: ,53.95,},
{ s: ,BKU,| n: ,BankUnited Inc.,| v: ,35.5,},
{ s: ,BCS,| n: ,Barclays PLC,| v: ,8.28,},
{ s: ,BBDC,| n: ,Barings BDC Inc.,| v: ,10.08,},
{ s: ,MCI,| n: ,Barings Corporate Investors,| v: ,16,},
{ s: ,MPV,| n: ,Barings Participation Investors,| v: ,15.48,},
{ s: ,BNED,| n: ,Barnes & Noble Education Inc,| v: ,4.06,},
{ s: ,BKS,| n: ,Barnes & Noble Inc.,| v: ,5.17,},
{ s: ,B,| n: ,Barnes Group Inc.,| v: ,56.47,},
{ s: ,GOLD,| n: ,Barrick Gold Corporation,| v: ,12,},
{ s: ,BAS,| n: ,Basic Energy Services Inc.,| v: ,2.79,},
{ s: ,BHC,| n: ,Bausch Health Companies Inc.,| v: ,25.32,},
{ s: ,BAX,| n: ,Baxter International Inc.,| v: ,75.94,},
{ s: ,BTE,| n: ,Baytex Energy Corp,| v: ,2.06,},
{ s: ,BBT,| n: ,BB&T Corporation,| v: ,49.86,},
